shift_id,nurse_id,date,unit,shift_type,hours,patients,acuity,admissions,discharges,overtime,call_in,feedback_id,reported_stress,reported_fatigue,burnout_freq,emotionally_drained,used_up,workload_change,intent_to_leave,satisfaction,comments,supervisor_id,performance_score,reliability,teamwork,clinical_decision,remarks
SN0139-31407,N0139,2025-11-10,ICU,Day,10,3,1,2,0,False,False,F4804,Low,None,Every day,False,False,Less,True,3,,SUP9,3,Good,Low,Appropriate,
SN0087-29519,N0087,2025-10-22,Peds,Evening,8,5,4,1,2,False,False,F4852,Medium,None,Every day,False,False,Less,False,5,,SUP1,5,Good,Moderate,Appropriate,
SN0036-28807,N0036,2025-10-15,Peds,Night,12,6,2,1,1,False,False,F4721,Medium,Moderate,Every day,False,False,No change,True,4,,SUP12,5,Below avg,Low,Appropriate,
SN0129-29507,N0129,2025-10-22,Peds,Night,12,4,8,2,0,False,False,F2039,Low,Moderate,Never,False,False,No change,False,2,,SUP4,4,Excellent,High,Needs improvement,
SN0131-35619,N0131,2025-12-22,ICU,Day,10,3,9,0,2,False,False,F5040,Medium,None,Every day,False,False,No change,False,5,,SUP7,3,Good,Moderate,Appropriate,
SN0015-31819,N0015,2025-11-14,ICU,Night,12,2,3,2,1,True,False,F4186,Low,Moderate,Never,False,False,Less,False,2,,SUP10,5,Average,Moderate,Appropriate,
SN0133-33407,N0133,2025-11-30,Medical,Night,8,5,9,0,1,False,False,F2755,Medium,None,Weekly,False,False,No change,False,4,,SUP12,3,Good,Moderate,Outstanding,
SN0087-29719,N0087,2025-10-24,ED,Evening,8,5,6,1,0,False,False,F5,High,Moderate,Every day,True,False,More,True,3,,SUP6,5,Good,High,Outstanding,
SN0085-00119,N0085,2026-01-01,Medical,Day,12,3,4,0,1,False,False,F13,Medium,Moderate,Weekly,False,False,More,True,5,,SUP8,4,Average,High,Appropriate,
SN0130-28619,N0130,2025-10-13,Surgery,Evening,12,5,8,0,1,False,False,F4315,Medium,Moderate,Weekly,False,False,More,False,5,,SUP11,4,Excellent,High,Appropriate,
SN0132-35319,N0132,2025-12-19,Peds,Night,12,5,8,0,0,False,False,F259,Low,None,Weekly,False,False,More,False,3,,SUP6,5,Excellent,Low,Outstanding,
SN0104-35619,N0104,2025-12-22,Medical,Night,8,8,8,0,0,False,False,F1917,High,None,Weekly,False,False,Less,True,1,,SUP7,4,Good,Moderate,Appropriate,
SN0112-31607,N0112,2025-11-12,Peds,Night,12,7,7,0,0,False,False,F2019,Medium,Moderate,Every day,False,False,Less,True,5,,SUP3,4,Excellent,Moderate,Outstanding,
SN0036-33119,N0036,2025-11-27,Peds,Night,12,2,3,3,1,False,False,F349,High,None,Weekly,False,False,More,False,3,,SUP10,5,Good,Moderate,Appropriate,
SN0036-35007,N0036,2025-12-16,ED,Day,10,4,9,1,0,False,True,F1109,Medium,None,Every day,False,False,More,False,1,,SUP5,2,Good,High,Appropriate,
SN0012-28619,N0012,2025-10-13,ICU,Night,8,5,9,0,0,False,False,F1276,Low,None,Weekly,True,False,More,False,2,,SUP4,2,Excellent,Moderate,Needs improvement,
SN0139-36507,N0139,2025-12-31,Surgery,Night,12,5,9,0,2,False,False,F2087,Medium,Moderate,Never,True,False,More,True,1,,SUP4,2,Average,Moderate,Appropriate,
SN0135-30907,N0135,2025-11-05,ICU,Night,10,7,8,0,0,False,False,F2308,Medium,Moderate,Never,False,False,No change,False,3,,SUP10,3,Excellent,Moderate,Appropriate,
SN0029-29019,N0029,2025-10-17,Peds,Night,12,8,3,0,2,False,False,F5214,Low,Moderate,Weekly,False,False,More,True,1,,SUP2,3,Average,Moderate,Appropriate,
SN0059-32819,N0059,2025-11-24,ED,Night,8,5,10,1,0,False,False,F1764,Medium,Moderate,Every day,False,False,More,True,1,,SUP7,5,Good,Moderate,Appropriate,
SN0055-33719,N0055,2025-12-03,ED,Night,8,6,4,0,0,False,False,F3287,High,Moderate,Monthly,False,False,No change,False,4,,SUP9,3,Good,Moderate,Appropriate,
SN0148-35107,N0148,2025-12-17,Medical,Day,12,5,8,2,1,False,False,F701,Low,Moderate,Never,False,True,No change,True,1,,SUP7,5,Excellent,High,Appropriate,
SN0068-30607,N0068,2025-11-02,Peds,Night,12,8,8,3,0,False,False,F509,Low,Moderate,Never,False,False,More,False,5,,SUP8,3,Good,High,Appropriate,
SN0139-32519,N0139,2025-11-21,Surgery,Day,12,3,5,1,1,False,False,F2683,Medium,Moderate,Weekly,False,False,More,False,3,,SUP1,5,Excellent,Moderate,Outstanding,
SN0032-29219,N0032,2025-10-19,Surgery,Day,12,2,10,1,0,False,False,F3856,Low,Moderate,Never,False,True,More,False,1,,SUP9,5,Good,Moderate,Outstanding,
SN0123-34207,N0123,2025-12-08,ICU,Night,12,7,2,1,1,False,False,F546,High,None,Monthly,False,False,No change,True,5,,SUP9,3,Average,High,Needs improvement,
SN0111-28119,N0111,2025-10-08,ED,Night,12,5,5,2,0,False,False,F3550,Medium,None,Every day,False,True,Less,False,3,,SUP6,5,Good,Moderate,Appropriate,
SN0023-28507,N0023,2025-10-12,Medical,Day,12,4,5,0,2,False,False,F2057,Low,None,Weekly,False,False,More,True,5,,SUP6,2,Average,High,Needs improvement,
SN0066-33819,N0066,2025-12-04,ICU,Day,12,7,1,0,1,False,False,F3138,High,Moderate,Every day,False,False,No change,False,2,,SUP1,3,Good,High,Needs improvement,
SN0146-30407,N0146,2025-10-31,ED,Day,8,6,4,2,0,False,False,F4276,Medium,Severe,Every day,False,True,Less,True,1,,SUP7,5,Average,Moderate,Appropriate,
SN0044-28519,N0044,2025-10-12,Peds,Night,12,3,10,2,0,False,False,F1159,High,None,Never,False,False,More,False,5,,SUP10,5,Average,Moderate,Appropriate,
SN0037-00307,N0037,2026-01-03,Medical,Night,8,8,10,1,0,False,False,F3185,Low,Moderate,Every day,True,True,No change,False,3,,SUP5,3,Good,Moderate,Outstanding,
SN0008-29419,N0008,2025-10-21,Peds,Night,12,7,8,2,0,False,False,F2377,High,Moderate,Never,True,False,Less,True,1,,SUP4,5,Good,Moderate,Appropriate,
SN0145-00507,N0145,2026-01-05,ED,Day,12,4,8,0,1,False,False,F2968,Medium,Moderate,Every day,False,False,More,False,2,,SUP10,2,Good,High,Outstanding,
SN0009-28319,N0009,2025-10-10,ED,Day,12,3,6,0,0,False,False,F1068,Low,Moderate,Weekly,False,True,No change,False,1,,SUP11,3,Good,Moderate,Appropriate,
SN0116-29919,N0116,2025-10-26,Peds,Night,12,4,6,0,0,False,False,F4082,Low,Severe,Never,False,False,More,False,1,,SUP5,4,Good,High,Appropriate,
SN0141-33807,N0141,2025-12-04,Peds,Evening,12,6,7,1,1,False,False,F5159,Medium,Moderate,Never,False,True,More,False,3,,SUP5,5,Average,Moderate,Needs improvement,
SN0079-35707,N0079,2025-12-23,Peds,Day,8,4,1,1,2,False,False,F2186,Low,Moderate,Weekly,False,False,No change,True,1,,SUP2,3,Average,High,Outstanding,
SN0102-34907,N0102,2025-12-15,ED,Day,12,3,6,0,0,False,False,F4676,Low,None,Every day,False,False,No change,False,2,,SUP1,5,Excellent,High,Appropriate,
SN0100-28119,N0100,2025-10-08,Peds,Evening,12,8,2,1,0,False,False,F145,Medium,Moderate,Weekly,False,False,More,False,5,,SUP12,4,Average,Low,Appropriate,
SN0052-00519,N0052,2026-01-05,ICU,Evening,12,8,8,2,1,False,False,F3097,Low,Moderate,Every day,True,False,No change,True,3,,SUP2,3,Good,Moderate,Needs improvement,
SN0092-29507,N0092,2025-10-22,Surgery,Night,8,7,10,1,0,False,False,F5136,Low,None,Weekly,True,True,No change,True,2,,SUP1,2,Excellent,High,Appropriate,
SN0028-31707,N0028,2025-11-13,Peds,Day,12,4,1,2,1,False,False,F2503,Medium,None,Monthly,False,False,More,True,2,,SUP5,4,Average,Moderate,Appropriate,
SN0133-30319,N0133,2025-10-30,ED,Day,8,2,1,2,1,False,False,F3908,Medium,None,Every day,False,False,No change,False,5,,SUP3,4,Excellent,High,Needs improvement,
SN0040-30007,N0040,2025-10-27,ICU,Day,12,6,5,3,1,False,False,F2394,Low,None,Never,True,False,More,False,1,,SUP8,4,Good,High,Appropriate,
SN0006-31307,N0006,2025-11-09,Medical,Night,12,3,5,1,1,False,False,F1187,Low,Moderate,Every day,False,False,No change,False,5,,SUP12,4,Excellent,High,Appropriate,
SN0013-35019,N0013,2025-12-16,ED,Night,8,6,9,0,1,False,False,F4805,Medium,Severe,Never,True,False,No change,True,3,,SUP10,2,Good,Moderate,Appropriate,
SN0129-34707,N0129,2025-12-13,ICU,Night,12,3,3,1,0,True,False,F921,Medium,None,Weekly,False,False,No change,True,3,,SUP8,2,Average,Low,Appropriate,
SN0145-33007,N0145,2025-11-26,ICU,Evening,12,5,1,0,0,False,False,F1749,High,Moderate,Weekly,False,False,No change,False,4,,SUP5,5,Excellent,High,Appropriate,
SN0116-31919,N0116,2025-11-15,Medical,Night,8,8,9,0,0,False,False,F115,Low,None,Never,False,False,Less,False,3,,SUP10,4,Average,High,Appropriate,
SN0147-28119,N0147,2025-10-08,Surgery,Day,12,4,9,0,2,False,False,F4798,Medium,Moderate,Every day,True,True,No change,True,1,,SUP4,3,Good,Moderate,Appropriate,
SN0015-00519,N0015,2026-01-05,ICU,Day,12,8,3,1,0,False,False,F3353,Low,None,Weekly,True,False,More,True,5,,SUP6,2,Average,Moderate,Appropriate,
SN0036-31207,N0036,2025-11-08,ED,Night,12,2,9,2,1,False,False,F1180,Medium,Moderate,Monthly,False,True,More,False,3,,SUP5,4,Good,Moderate,Appropriate,
SN0013-31519,N0013,2025-11-11,Peds,Day,8,8,5,0,1,False,False,F4664,High,Moderate,Monthly,False,False,No change,False,2,,SUP10,3,Average,Moderate,Appropriate,
SN0127-32507,N0127,2025-11-21,ED,Evening,12,4,1,0,0,False,False,F2942,Medium,Moderate,Weekly,False,True,Less,True,2,,SUP3,5,Average,Moderate,Appropriate,
SN0007-32619,N0007,2025-11-22,Medical,Night,12,3,8,4,0,False,False,F68,High,Moderate,Never,True,False,More,False,3,,SUP2,2,Good,High,Appropriate,
SN0091-30607,N0091,2025-11-02,Peds,Night,12,6,2,1,0,False,False,F2545,Medium,Moderate,Never,False,False,More,False,1,,SUP1,3,Excellent,Moderate,Appropriate,
SN0008-31007,N0008,2025-11-06,Surgery,Evening,12,8,6,0,0,False,False,F5133,Low,Moderate,Every day,False,False,No change,True,1,,SUP2,5,Good,Moderate,Appropriate,
SN0052-35519,N0052,2025-12-21,ICU,Night,12,6,5,1,0,False,True,F1811,High,None,Weekly,False,True,No change,False,1,,SUP9,2,Average,Moderate,Appropriate,
SN0121-32919,N0121,2025-11-25,Surgery,Night,12,5,2,0,0,False,False,F4697,Low,None,Monthly,False,False,Less,False,5,,SUP2,2,Average,High,Appropriate,
SN0034-00307,N0034,2026-01-03,Medical,Day,12,2,1,0,1,False,False,F4,Medium,Moderate,Every day,False,False,More,False,1,,SUP9,2,Good,High,Appropriate,
SN0104-29307,N0104,2025-10-20,ED,Night,12,4,5,2,1,False,False,F2579,High,Moderate,Weekly,False,False,No change,False,1,,SUP9,3,Excellent,Moderate,Outstanding,
SN0090-00307,N0090,2026-01-03,ICU,Day,12,2,8,0,2,False,False,F1118,Medium,Severe,Every day,False,False,No change,False,5,,SUP11,3,Good,High,Needs improvement,
SN0041-32119,N0041,2025-11-17,ED,Day,12,8,3,0,1,False,False,F3451,Low,Moderate,Monthly,True,False,No change,True,3,,SUP10,3,Good,High,Appropriate,
SN0005-32207,N0005,2025-11-18,Peds,Night,12,7,6,0,0,False,False,F2105,Medium,None,Weekly,False,False,No change,False,3,,SUP7,4,Excellent,High,Appropriate,
SN0051-35119,N0051,2025-12-17,ICU,Night,10,3,8,1,1,False,False,F59,High,Severe,Every day,False,False,More,False,1,,SUP10,3,Good,High,Needs improvement,
SN0114-30507,N0114,2025-11-01,Peds,Night,12,2,4,0,1,False,False,F4815,High,Moderate,Never,False,False,More,False,1,,SUP10,5,Good,High,Needs improvement,
SN0053-32019,N0053,2025-11-16,ICU,Night,12,7,4,2,0,False,False,F3767,High,Moderate,Monthly,False,False,More,False,3,,SUP11,5,Excellent,Moderate,Appropriate,
SN0129-30607,N0129,2025-11-02,ED,Day,12,7,10,1,0,False,False,F325,High,Moderate,Monthly,False,False,More,True,1,,SUP2,5,Excellent,High,Appropriate,
SN0063-33719,N0063,2025-12-03,ED,Day,12,8,4,2,1,True,False,F572,Low,Moderate,Monthly,True,True,No change,False,5,,SUP4,3,Average,High,Appropriate,
SN0133-32119,N0133,2025-11-17,ED,Day,12,6,8,0,0,False,False,F3655,High,Moderate,Every day,False,False,More,False,1,,SUP3,3,Below avg,High,Appropriate,
SN0027-36307,N0027,2025-12-29,Medical,Night,12,7,5,2,3,False,False,F351,Medium,None,Weekly,False,True,Less,False,5,,SUP11,4,Excellent,High,Appropriate,
SN0142-32919,N0142,2025-11-25,ICU,Night,12,6,8,1,1,True,False,F2407,Medium,Severe,Never,True,False,More,True,3,,SUP10,5,Excellent,Low,Outstanding,
SN0011-34607,N0011,2025-12-12,ICU,Evening,10,5,6,2,0,False,False,F1366,Medium,Moderate,Monthly,False,False,More,False,2,,SUP4,2,Excellent,Moderate,Outstanding,
SN0009-31919,N0009,2025-11-15,Surgery,Day,12,3,1,1,0,False,False,F1944,High,Moderate,Every day,False,True,Less,True,4,,SUP6,2,Average,Low,Appropriate,
SN0123-32319,N0123,2025-11-19,Peds,Day,12,8,7,1,2,False,False,F3337,Low,None,Every day,True,False,More,False,2,,SUP8,3,Good,High,Appropriate,
SN0080-35519,N0080,2025-12-21,Surgery,Evening,8,3,3,3,0,True,False,F710,Medium,Severe,Every day,True,False,Less,True,1,,SUP6,3,Excellent,Moderate,Outstanding,
SN0083-33019,N0083,2025-11-26,Surgery,Night,12,6,10,1,0,False,False,F1837,Medium,Moderate,Never,True,False,No change,False,2,,SUP4,4,Average,High,Needs improvement,
SN0031-34519,N0031,2025-12-11,Surgery,Evening,12,5,4,1,0,False,False,F2919,Medium,None,Every day,False,True,More,False,3,,SUP9,2,Excellent,High,Outstanding,
SN0006-32519,N0006,2025-11-21,ICU,Day,8,4,7,2,3,False,False,F528,Low,Moderate,Every day,False,False,More,False,2,,SUP5,3,Excellent,High,Appropriate,
SN0096-34607,N0096,2025-12-12,Surgery,Night,12,3,4,1,1,False,False,F2333,High,Moderate,Weekly,False,False,More,False,4,,SUP9,3,Good,Moderate,Needs improvement,
SN0145-36307,N0145,2025-12-29,Surgery,Night,12,3,4,0,0,False,False,F3594,Low,Moderate,Every day,False,False,No change,False,4,,SUP11,2,Excellent,High,Appropriate,
SN0094-30507,N0094,2025-11-01,Medical,Evening,8,5,6,4,0,False,False,F514,Medium,Moderate,Weekly,False,True,No change,True,5,,SUP2,5,Good,Moderate,Appropriate,
SN0060-35107,N0060,2025-12-17,ICU,Day,10,7,3,0,3,False,False,F3415,Medium,Moderate,Monthly,False,False,Less,False,2,,SUP2,4,Average,High,Needs improvement,
SN0131-36507,N0131,2025-12-31,Surgery,Night,8,5,9,1,1,False,False,F752,High,Moderate,Monthly,False,False,More,False,4,,SUP2,3,Average,High,Appropriate,
SN0088-35919,N0088,2025-12-25,Peds,Night,12,5,7,0,1,False,False,F5101,High,Moderate,Never,True,False,No change,False,5,,SUP6,3,Good,High,Appropriate,
SN0119-00419,N0119,2026-01-04,Peds,Night,10,6,2,5,0,False,False,F4855,High,Moderate,Weekly,False,False,No change,False,4,,SUP12,3,Excellent,High,Outstanding,
SN0030-30607,N0030,2025-11-02,Medical,Day,12,8,2,0,0,False,False,F1798,Low,Moderate,Weekly,False,False,No change,True,4,,SUP8,4,Below avg,Moderate,Appropriate,
SN0125-31019,N0125,2025-11-06,Peds,Night,8,7,8,0,2,True,False,F5247,Medium,Moderate,Every day,True,False,No change,True,2,,SUP1,3,Good,Moderate,Needs improvement,
SN0099-28107,N0099,2025-10-08,ICU,Day,12,2,2,0,2,False,False,F2455,Low,Moderate,Every day,True,True,More,False,3,,SUP4,5,Excellent,Moderate,Appropriate,
SN0113-30707,N0113,2025-11-03,ICU,Night,10,7,6,1,1,False,False,F4328,Low,None,Monthly,False,False,No change,False,2,,SUP5,2,Excellent,High,Appropriate,
SN0115-29707,N0115,2025-10-24,Surgery,Night,12,5,1,0,1,False,False,F3949,Low,None,Monthly,False,False,More,False,2,,SUP8,3,Excellent,Moderate,Appropriate,
SN0129-33219,N0129,2025-11-28,Medical,Night,12,2,1,2,2,False,False,F1231,Medium,Moderate,Monthly,True,True,No change,True,3,,SUP6,4,Average,High,Appropriate,
SN0040-28607,N0040,2025-10-13,Medical,Day,12,5,10,1,1,True,False,F3532,Medium,Moderate,Weekly,False,False,More,False,4,,SUP7,3,Average,Moderate,Appropriate,
SN0046-35807,N0046,2025-12-24,Peds,Day,12,4,8,2,0,False,False,F1992,Low,None,Never,False,False,More,False,2,,SUP1,4,Average,Moderate,Appropriate,
SN0015-34119,N0015,2025-12-07,ICU,Night,8,5,4,4,2,False,False,F4127,High,None,Every day,False,False,No change,False,4,,SUP11,2,Excellent,Moderate,Appropriate,
SN0092-28107,N0092,2025-10-08,Surgery,Day,12,4,8,3,1,False,False,F702,Medium,Moderate,Every day,True,False,More,False,5,,SUP2,5,Average,Moderate,Appropriate,
SN0083-28919,N0083,2025-10-16,ICU,Day,12,8,9,0,1,False,False,F2113,High,Moderate,Never,False,False,More,True,2,,SUP7,3,Below avg,Moderate,Appropriate,
SN0103-00207,N0103,2026-01-02,Surgery,Day,8,8,10,4,0,False,False,F1943,Medium,Moderate,Never,False,False,More,False,1,,SUP5,4,Below avg,Moderate,Appropriate,
SN0086-34507,N0086,2025-12-11,Peds,Night,12,6,1,1,0,False,False,F1829,Medium,Moderate,Never,False,False,No change,False,2,,SUP11,3,Good,Moderate,Outstanding,
SN0044-33907,N0044,2025-12-05,Peds,Evening,12,3,3,1,1,False,False,F4663,Medium,None,Never,False,False,Less,False,1,,SUP3,5,Good,Moderate,Appropriate,
SN0101-36107,N0101,2025-12-27,ED,Day,12,2,10,0,1,False,False,F354,Medium,Moderate,Every day,False,False,More,False,3,,SUP7,3,Average,Moderate,Appropriate,
SN0007-35019,N0007,2025-12-16,Peds,Day,12,8,2,1,2,False,False,F1259,High,Moderate,Never,False,False,Less,False,1,,SUP3,3,Average,Moderate,Outstanding,
SN0080-32307,N0080,2025-11-19,ICU,Day,12,8,4,0,0,False,False,F104,Low,None,Weekly,False,True,More,False,3,,SUP5,5,Average,High,Needs improvement,
SN0026-31919,N0026,2025-11-15,Surgery,Night,12,8,5,3,0,False,False,F3279,Medium,Moderate,Weekly,False,False,More,False,5,,SUP6,5,Good,High,Outstanding,
SN0026-28119,N0026,2025-10-08,ICU,Day,12,5,6,1,0,False,False,F3919,Medium,None,Every day,False,False,More,False,1,,SUP6,5,Good,Low,Appropriate,
SN0113-29207,N0113,2025-10-19,Surgery,Night,12,2,4,0,0,True,False,F1083,Low,Moderate,Monthly,False,False,More,False,5,,SUP5,4,Good,High,Appropriate,
SN0033-29007,N0033,2025-10-17,Surgery,Evening,12,6,10,1,0,True,False,F1240,Medium,None,Every day,False,False,More,False,2,,SUP7,5,Good,Moderate,Appropriate,
SN0067-29707,N0067,2025-10-24,Medical,Night,12,7,7,0,3,True,False,F180,Low,None,Weekly,False,False,More,False,2,,SUP3,3,Average,High,Needs improvement,
