shift_id,nurse_id,date,unit,shift_type,hours,patients,acuity,admissions,discharges,overtime,call_in,feedback_id,reported_stress,reported_fatigue,burnout_freq,emotionally_drained,used_up,workload_change,intent_to_leave,satisfaction,comments
SN0002-33407,N0002,2025-11-30,Medical,Night,12,2,1,1,1,False,False,F20,High,Moderate,Monthly,False,False,No change,True,3,
SN0056-29807,N0056,2025-10-25,Peds,Night,8,7,4,4,0,True,False,F21,Low,Moderate,Monthly,True,False,More,False,5,
SN0117-33507,N0117,2025-12-01,Peds,Night,12,4,1,2,2,False,False,F22,High,None,Weekly,False,True,More,True,4,
SN0132-30919,N0132,2025-11-05,Medical,Day,12,4,2,1,1,True,False,F23,Medium,Moderate,Weekly,False,False,More,False,1,
SN0101-31819,N0101,2025-11-14,Medical,Night,8,5,10,1,0,False,False,F24,Medium,Moderate,Every day,False,False,No change,True,4,
SN0029-29519,N0029,2025-10-22,ICU,Evening,12,4,3,1,0,False,False,F25,Low,Moderate,Weekly,False,True,More,True,5,
SN0012-28607,N0012,2025-10-13,Surgery,Night,8,2,7,1,0,False,False,F26,Low,None,Every day,False,False,Less,False,4,
SN0059-32419,N0059,2025-11-20,Surgery,Evening,8,8,8,2,2,False,False,F27,Low,Severe,Every day,False,False,Less,False,3,
SN0074-32807,N0074,2025-11-24,Peds,Night,8,7,2,0,1,False,False,F28,Low,Moderate,Weekly,False,True,More,False,2,
SN0037-32907,N0037,2025-11-25,Medical,Night,12,5,4,1,3,False,False,F29,Medium,Moderate,Weekly,False,False,More,False,3,
SN0059-00507,N0059,2026-01-05,ED,Day,12,3,9,1,0,False,False,F30,Low,Moderate,Never,False,False,More,True,3,
SN0100-36119,N0100,2025-12-27,Medical,Day,10,5,10,0,0,True,False,F31,Medium,Moderate,Monthly,False,True,More,False,1,
SN0024-30419,N0024,2025-10-31,Peds,Night,12,7,10,1,0,False,False,F32,Low,None,Every day,False,True,No change,True,1,
SN0030-32707,N0030,2025-11-23,Peds,Day,12,4,10,0,0,False,False,F33,High,Moderate,Every day,False,False,No change,False,4,
SN0109-31019,N0109,2025-11-06,Surgery,Evening,8,6,7,1,1,False,True,F34,High,Moderate,Every day,True,False,More,True,5,
SN0144-34407,N0144,2025-12-10,Medical,Day,8,7,7,1,0,False,False,F35,High,Moderate,Weekly,False,False,No change,False,4,
SN0132-30319,N0132,2025-10-30,ICU,Day,8,6,9,0,0,False,False,F36,Medium,Severe,Every day,False,False,No change,True,2,
SN0017-31407,N0017,2025-11-10,Surgery,Day,8,2,5,0,1,False,True,F37,Low,Moderate,Every day,False,False,No change,False,5,
SN0129-29007,N0129,2025-10-17,Medical,Day,8,6,10,0,0,False,False,F38,Medium,Moderate,Monthly,False,False,More,True,3,
SN0092-29119,N0092,2025-10-18,ICU,Night,8,8,2,0,2,False,False,F39,Medium,Moderate,Every day,False,True,No change,False,3,
SN0060-28907,N0060,2025-10-16,Surgery,Evening,12,4,8,1,1,False,False,F40,Low,None,Weekly,False,False,No change,True,2,
SN0026-32607,N0026,2025-11-22,Medical,Day,12,7,1,0,0,False,True,F41,Medium,None,Every day,False,True,More,True,5,
SN0145-34319,N0145,2025-12-09,Peds,Day,12,5,10,1,1,False,False,F42,Low,None,Monthly,False,False,No change,False,2,
SN0039-34407,N0039,2025-12-10,Peds,Evening,12,3,6,2,0,False,False,F43,High,None,Weekly,False,False,No change,False,4,
SN0040-33007,N0040,2025-11-26,Medical,Evening,12,6,9,0,2,True,False,F44,Low,Moderate,Every day,False,False,No change,True,2,
SN0042-32107,N0042,2025-11-17,ED,Night,8,2,6,0,0,False,False,F45,High,None,Weekly,False,False,More,False,1,
SN0098-35819,N0098,2025-12-24,Peds,Night,12,7,10,1,1,False,False,F46,Medium,None,Weekly,False,False,More,True,2,
SN0145-31807,N0145,2025-11-14,Medical,Night,10,8,6,0,0,False,False,F47,Low,None,Never,False,False,More,True,5,
SN0095-28319,N0095,2025-10-10,Medical,Day,12,8,4,2,2,False,False,F48,Medium,Severe,Weekly,True,True,No change,True,4,
SN0047-33307,N0047,2025-11-29,ED,Evening,8,6,3,3,2,False,False,F49,Low,None,Monthly,False,False,More,False,1,
SN0086-30307,N0086,2025-10-30,Peds,Day,12,6,9,0,0,True,True,F50,Medium,Moderate,Monthly,False,False,More,False,4,
SN0094-29007,N0094,2025-10-17,Peds,Night,12,8,4,0,1,False,False,F51,Low,Moderate,Every day,False,False,More,False,3,
SN0120-35107,N0120,2025-12-17,ED,Day,12,8,6,1,0,True,False,F52,High,Moderate,Never,False,True,No change,False,1,
SN0139-35419,N0139,2025-12-20,Medical,Night,10,3,10,0,0,False,False,F53,High,Severe,Monthly,False,True,More,True,2,
SN0027-28619,N0027,2025-10-13,Peds,Night,12,6,6,1,1,False,True,F54,Medium,Moderate,Every day,False,False,No change,True,4,
SN0036-36319,N0036,2025-12-29,Surgery,Night,12,8,4,2,0,False,False,F55,Medium,Moderate,Every day,False,True,No change,True,2,
SN0033-35319,N0033,2025-12-19,ICU,Night,8,7,2,1,0,False,False,F56,Medium,None,Monthly,False,False,More,False,2,
SN0060-29419,N0060,2025-10-21,Surgery,Night,12,7,8,0,1,False,False,F57,High,None,Never,False,True,More,False,4,
SN0078-29707,N0078,2025-10-24,Peds,Night,12,4,8,0,1,False,False,F58,Medium,Severe,Every day,False,False,Less,False,2,
SN0051-35119,N0051,2025-12-17,ICU,Night,10,3,8,1,1,False,False,F59,High,Severe,Every day,False,False,More,False,1,
SN0028-34319,N0028,2025-12-09,ED,Night,12,5,2,0,0,False,False,F60,Low,None,Weekly,False,True,More,False,4,
SN0122-29819,N0122,2025-10-25,ICU,Night,12,3,2,1,1,False,False,F61,High,Moderate,Weekly,False,False,More,False,5,
SN0063-00107,N0063,2026-01-01,Medical,Night,12,6,1,1,0,False,False,F62,Medium,Moderate,Every day,True,True,No change,False,2,
SN0073-28707,N0073,2025-10-14,Medical,Day,12,2,10,0,1,False,True,F63,Low,None,Monthly,True,False,More,False,3,
SN0099-29407,N0099,2025-10-21,ICU,Night,12,2,8,0,1,False,False,F64,Low,Severe,Weekly,False,False,More,False,4,
SN0106-35519,N0106,2025-12-21,ED,Day,12,8,4,2,1,False,True,F65,Low,None,Every day,False,False,More,False,3,
SN0143-35007,N0143,2025-12-16,Medical,Day,12,4,5,2,1,False,False,F66,High,Moderate,Never,False,False,No change,False,5,
SN0090-29307,N0090,2025-10-20,Medical,Evening,10,7,6,0,1,False,False,F67,Low,Moderate,Monthly,False,False,More,True,5,
SN0007-32619,N0007,2025-11-22,Medical,Night,12,3,8,4,0,False,False,F68,High,Moderate,Never,True,False,More,False,3,
SN0047-34707,N0047,2025-12-13,Peds,Night,8,4,10,2,0,False,False,F69,Medium,None,Monthly,True,False,No change,False,4,
SN0138-31919,N0138,2025-11-15,Surgery,Night,12,7,4,4,1,False,False,F70,High,Severe,Weekly,False,False,No change,False,3,
SN0116-28407,N0116,2025-10-11,Peds,Day,12,4,9,0,1,False,False,F71,Medium,None,Monthly,False,False,More,False,1,
SN0075-34619,N0075,2025-12-12,Surgery,Night,12,3,4,0,2,False,False,F72,Low,Moderate,Weekly,False,False,Less,False,2,
SN0125-33319,N0125,2025-11-29,Medical,Day,12,3,3,1,0,False,False,F73,Low,None,Weekly,False,False,More,False,5,
SN0122-35019,N0122,2025-12-16,Peds,Night,12,7,6,4,0,False,False,F74,High,Moderate,Weekly,False,True,More,True,5,
SN0022-28519,N0022,2025-10-12,Surgery,Night,10,5,10,2,0,False,False,F75,Medium,None,Every day,False,False,No change,True,5,
SN0148-36019,N0148,2025-12-26,ICU,Day,12,8,8,0,2,False,False,F76,Low,None,Monthly,False,False,More,True,1,
SN0113-33507,N0113,2025-12-01,ICU,Night,12,5,2,3,0,False,False,F77,Low,Moderate,Every day,False,True,More,True,1,
SN0100-35119,N0100,2025-12-17,Surgery,Day,12,7,8,0,0,False,False,F78,High,Moderate,Weekly,False,True,No change,False,1,
SN0072-30007,N0072,2025-10-27,Surgery,Day,12,3,6,0,0,False,False,F79,High,Moderate,Every day,False,False,No change,False,3,
SN0130-33819,N0130,2025-12-04,Surgery,Night,8,8,7,0,1,False,False,F80,Low,Severe,Weekly,False,False,No change,False,3,
SN0038-34207,N0038,2025-12-08,Surgery,Night,12,7,3,1,0,False,False,F81,Medium,Severe,Every day,False,True,More,True,2,
SN0004-31519,N0004,2025-11-11,ICU,Day,12,8,6,0,0,False,False,F82,Low,Moderate,Weekly,False,False,No change,False,3,
SN0107-34207,N0107,2025-12-08,Peds,Night,8,7,3,0,2,False,False,F83,High,Moderate,Every day,False,True,No change,False,5,
SN0034-00607,N0034,2026-01-06,Surgery,Night,12,2,1,0,1,False,False,F84,Medium,Severe,Every day,False,False,Less,False,1,
SN0021-35107,N0021,2025-12-17,Surgery,Night,12,4,2,1,0,False,False,F85,High,Moderate,Never,False,False,More,True,5,
SN0075-31307,N0075,2025-11-09,ED,Day,12,3,10,0,3,True,False,F86,Medium,None,Every day,True,False,More,False,1,
SN0080-28519,N0080,2025-10-12,Surgery,Day,12,7,2,1,0,False,False,F87,High,None,Every day,False,False,More,True,3,
SN0041-32907,N0041,2025-11-25,ICU,Day,8,8,9,1,0,False,False,F88,High,Moderate,Never,False,True,More,False,2,
SN0084-33907,N0084,2025-12-05,ICU,Night,12,3,7,3,1,True,False,F89,Low,Moderate,Every day,True,True,More,False,4,
SN0051-34919,N0051,2025-12-15,Medical,Night,12,6,4,2,0,True,False,F90,Low,Moderate,Monthly,False,True,More,True,1,
SN0071-36519,N0071,2025-12-31,Surgery,Night,12,4,10,1,2,False,False,F91,Low,Moderate,Weekly,True,False,No change,False,1,
SN0039-31807,N0039,2025-11-14,Surgery,Day,12,2,9,3,3,False,False,F92,Medium,Moderate,Monthly,False,False,Less,False,5,
SN0041-33107,N0041,2025-11-27,ED,Night,12,7,4,0,0,False,False,F93,Low,None,Weekly,False,False,More,False,2,
SN0029-28707,N0029,2025-10-14,Peds,Night,12,8,6,2,1,False,False,F94,High,Moderate,Every day,False,False,No change,False,2,
SN0025-33619,N0025,2025-12-02,Peds,Night,12,3,2,1,0,False,False,F95,Low,Moderate,Every day,False,False,Less,False,2,
SN0146-32607,N0146,2025-11-22,Medical,Night,12,2,9,1,0,False,False,F96,Low,None,Every day,False,False,More,True,4,
SN0094-34407,N0094,2025-12-10,ICU,Night,12,2,9,0,2,False,False,F97,Low,Moderate,Every day,False,False,No change,True,5,
SN0045-35907,N0045,2025-12-25,Medical,Evening,12,8,8,1,1,False,True,F98,Medium,Moderate,Weekly,False,False,More,False,2,
SN0006-34219,N0006,2025-12-08,ED,Night,12,4,4,1,0,False,False,F99,Low,None,Every day,False,False,No change,True,5,
SN0121-34307,N0121,2025-12-09,Peds,Day,12,4,4,1,0,False,False,F100,Medium,None,Weekly,False,False,More,True,3,
SN0120-33219,N0120,2025-11-28,Surgery,Night,12,2,6,3,0,False,False,F101,Low,Moderate,Monthly,False,False,No change,False,2,
SN0053-30019,N0053,2025-10-27,ED,Night,12,3,5,0,1,True,False,F102,High,Severe,Every day,True,False,More,False,4,
SN0005-34907,N0005,2025-12-15,Surgery,Day,12,2,6,1,0,False,False,F103,Low,None,Weekly,False,False,More,False,4,
SN0080-32307,N0080,2025-11-19,ICU,Day,12,8,4,0,0,False,False,F104,Low,None,Weekly,False,True,More,False,3,
SN0032-31319,N0032,2025-11-09,ED,Day,12,2,9,2,0,False,False,F105,Medium,None,Weekly,False,True,No change,True,3,
SN0046-29419,N0046,2025-10-21,ICU,Night,10,5,1,2,0,True,False,F106,Low,Moderate,Never,True,True,No change,True,4,
SN0120-36219,N0120,2025-12-28,ED,Day,12,4,1,0,1,True,False,F107,High,Moderate,Monthly,True,True,More,False,1,
SN0013-34319,N0013,2025-12-09,ICU,Night,10,8,5,0,0,False,False,F108,Medium,Severe,Monthly,False,True,More,False,4,
SN0133-36207,N0133,2025-12-28,Surgery,Day,12,4,6,1,1,False,False,F109,Medium,Moderate,Every day,False,False,No change,True,5,
SN0079-33619,N0079,2025-12-02,ICU,Night,12,3,3,1,2,False,False,F110,Medium,Moderate,Every day,False,False,No change,False,4,
SN0006-28919,N0006,2025-10-16,ED,Night,12,8,4,2,0,False,False,F111,Medium,Moderate,Every day,False,True,No change,False,4,
SN0044-00407,N0044,2026-01-04,ED,Day,12,8,6,1,1,False,False,F112,Low,Moderate,Every day,False,False,More,False,3,
SN0146-34419,N0146,2025-12-10,Medical,Night,12,6,8,3,0,False,False,F113,Medium,Moderate,Monthly,False,True,No change,False,3,
SN0045-29019,N0045,2025-10-17,ED,Day,12,5,6,4,0,False,False,F114,Medium,Severe,Monthly,False,False,More,False,1,
SN0116-31919,N0116,2025-11-15,Medical,Night,8,8,9,0,0,False,False,F115,Low,None,Never,False,False,Less,False,3,
SN0002-31719,N0002,2025-11-13,ICU,Day,12,5,6,2,1,False,False,F116,Medium,None,Every day,False,False,No change,False,4,
SN0114-36007,N0114,2025-12-26,Medical,Night,12,2,6,1,1,False,False,F117,High,Severe,Every day,False,False,Less,True,1,
SN0016-28219,N0016,2025-10-09,ED,Evening,8,4,5,0,0,False,False,F118,Low,Moderate,Every day,False,False,No change,False,5,
SN0124-35719,N0124,2025-12-23,ED,Day,8,8,9,2,0,False,False,F119,Low,Moderate,Every day,False,True,No change,True,1,
SN0143-32319,N0143,2025-11-19,Surgery,Evening,12,3,7,3,1,False,True,F120,High,Moderate,Monthly,False,False,No change,True,3,
SN0043-31107,N0043,2025-11-07,ICU,Day,12,6,10,2,1,False,False,F121,Low,Moderate,Every day,False,False,No change,True,1,
SN0080-32407,N0080,2025-11-20,Surgery,Day,10,8,8,2,0,True,False,F122,Medium,None,Monthly,False,False,More,False,4,
SN0055-35619,N0055,2025-12-22,Peds,Night,12,5,1,0,0,False,False,F123,Medium,Moderate,Weekly,False,False,More,True,1,
SN0143-31319,N0143,2025-11-09,Surgery,Evening,8,6,2,0,0,False,False,F124,High,Moderate,Never,False,False,More,False,1,
SN0081-32507,N0081,2025-11-21,ED,Night,10,7,1,1,1,True,False,F125,High,Severe,Weekly,False,False,More,False,2,
SN0017-31207,N0017,2025-11-08,Peds,Night,12,8,9,1,0,False,False,F126,Medium,Moderate,Weekly,False,False,No change,False,1,
SN0045-29319,N0045,2025-10-20,Medical,Evening,8,5,4,2,1,False,False,F127,High,Moderate,Weekly,False,False,More,False,1,
SN0002-32107,N0002,2025-11-17,Peds,Night,12,6,3,0,1,False,False,F128,Low,None,Every day,False,False,No change,True,5,
SN0041-29307,N0041,2025-10-20,ED,Night,10,7,6,4,0,False,False,F129,Medium,Moderate,Never,False,False,More,False,2,
SN0038-00307,N0038,2026-01-03,ICU,Night,12,4,8,2,2,False,False,F130,Medium,Severe,Never,False,True,No change,False,5,
SN0068-31507,N0068,2025-11-11,Surgery,Evening,12,4,3,1,0,False,False,F131,Medium,None,Weekly,False,False,No change,False,2,
SN0061-30307,N0061,2025-10-30,Surgery,Evening,8,6,6,1,0,False,False,F132,Medium,Moderate,Every day,True,False,More,False,1,
SN0150-36507,N0150,2025-12-31,Surgery,Day,8,2,8,2,0,False,False,F133,Low,None,Monthly,True,True,No change,False,4,
SN0146-34819,N0146,2025-12-14,Peds,Night,12,8,8,0,0,False,False,F134,Low,Severe,Weekly,False,True,More,True,5,
SN0107-29419,N0107,2025-10-21,Medical,Day,12,7,6,0,0,False,False,F135,High,Moderate,Monthly,False,False,More,False,3,
SN0041-00107,N0041,2026-01-01,Peds,Evening,12,8,5,3,0,False,False,F136,Low,Moderate,Weekly,False,False,No change,False,3,
SN0126-32007,N0126,2025-11-16,ICU,Night,12,6,8,0,2,False,False,F137,Low,Moderate,Never,False,False,More,False,2,
SN0012-32607,N0012,2025-11-22,Peds,Day,12,8,4,0,0,False,False,F138,Low,Moderate,Never,False,False,More,True,2,
SN0117-34619,N0117,2025-12-12,ED,Day,8,2,4,1,1,False,False,F139,High,Severe,Monthly,False,False,No change,False,3,
SN0027-36207,N0027,2025-12-28,ED,Evening,12,6,4,1,0,False,False,F140,Low,Severe,Every day,False,False,More,False,4,
SN0129-29219,N0129,2025-10-19,ED,Night,12,3,5,0,1,False,False,F141,Medium,Moderate,Every day,False,False,More,True,1,
SN0025-00319,N0025,2026-01-03,ED,Evening,8,6,6,0,0,False,False,F142,Low,None,Monthly,False,False,No change,False,5,
SN0139-00307,N0139,2026-01-03,ICU,Day,8,2,1,1,1,False,False,F143,Medium,Moderate,Weekly,False,False,More,True,4,
SN0014-36519,N0014,2025-12-31,Peds,Day,12,2,3,0,0,False,False,F144,High,Moderate,Monthly,False,True,Less,True,5,
SN0100-28119,N0100,2025-10-08,Peds,Evening,12,8,2,1,0,False,False,F145,Medium,Moderate,Weekly,False,False,More,False,5,
SN0039-00307,N0039,2026-01-03,ICU,Night,12,3,4,1,1,False,False,F146,Medium,Severe,Every day,False,False,More,False,1,
SN0100-36507,N0100,2025-12-31,Medical,Night,12,2,1,2,2,False,False,F147,Medium,Moderate,Every day,False,False,No change,False,1,
SN0077-32019,N0077,2025-11-16,ED,Night,8,8,6,0,1,False,False,F148,Medium,Moderate,Weekly,False,False,More,False,5,
SN0054-36119,N0054,2025-12-27,ICU,Night,8,6,4,0,2,False,False,F149,Low,Moderate,Every day,False,False,More,False,1,
SN0055-33219,N0055,2025-11-28,Surgery,Day,12,4,5,4,0,False,False,F150,Medium,Moderate,Weekly,False,False,More,True,1,
SN0021-34819,N0021,2025-12-14,ICU,Day,12,6,3,0,1,False,False,F151,Medium,Moderate,Every day,False,False,No change,False,4,
SN0114-31107,N0114,2025-11-07,Surgery,Evening,12,4,5,2,0,False,False,F152,High,None,Monthly,True,False,No change,False,5,
SN0007-36019,N0007,2025-12-26,Peds,Night,12,5,8,0,1,False,False,F153,Low,None,Every day,False,False,More,True,3,
SN0059-32819,N0059,2025-11-24,Medical,Day,12,6,2,0,1,True,False,F154,Medium,Moderate,Every day,False,False,More,True,4,
SN0105-33207,N0105,2025-11-28,Peds,Day,8,7,4,1,2,False,False,F155,Low,None,Weekly,False,False,No change,False,1,
SN0073-35519,N0073,2025-12-21,Surgery,Day,12,7,6,2,1,False,False,F156,High,None,Monthly,True,True,More,False,3,
SN0085-32607,N0085,2025-11-22,Medical,Night,8,2,9,0,0,False,False,F157,Medium,Moderate,Every day,False,True,More,True,4,
SN0142-00619,N0142,2026-01-06,ED,Night,12,3,8,2,0,False,False,F158,Medium,Moderate,Never,False,True,Less,True,4,
SN0058-32119,N0058,2025-11-17,Surgery,Night,12,2,8,1,0,False,False,F159,High,Moderate,Monthly,False,False,No change,True,1,
SN0041-31107,N0041,2025-11-07,Surgery,Day,12,8,7,0,0,False,True,F160,Low,Moderate,Every day,False,False,Less,False,5,
SN0031-30119,N0031,2025-10-28,Peds,Night,12,6,2,1,1,False,False,F161,Low,Moderate,Every day,False,False,No change,False,2,
SN0121-34607,N0121,2025-12-12,Surgery,Night,12,2,10,2,2,False,False,F162,Medium,Moderate,Never,True,True,More,True,2,
SN0127-30007,N0127,2025-10-27,ICU,Day,8,2,8,3,1,False,False,F163,Medium,Moderate,Weekly,False,True,More,True,3,
SN0078-00107,N0078,2026-01-01,Medical,Night,12,2,8,2,0,False,False,F164,Medium,Moderate,Monthly,False,False,More,False,2,
SN0130-33007,N0130,2025-11-26,Medical,Night,12,5,10,1,1,True,False,F165,Medium,Moderate,Never,False,True,More,False,5,
SN0048-34807,N0048,2025-12-14,ED,Night,12,8,2,1,1,False,False,F166,Medium,Moderate,Monthly,False,False,More,True,5,
SN0137-29219,N0137,2025-10-19,Medical,Night,12,7,7,1,1,False,True,F167,Medium,Moderate,Every day,False,False,More,False,3,
SN0093-31107,N0093,2025-11-07,Peds,Day,12,4,8,3,4,False,False,F168,Medium,Severe,Weekly,True,False,No change,True,1,
SN0084-32107,N0084,2025-11-17,ICU,Day,8,3,5,2,1,False,False,F169,Medium,Moderate,Monthly,False,False,More,True,1,
SN0074-32519,N0074,2025-11-21,ICU,Day,12,4,6,1,0,False,False,F170,Low,Severe,Every day,False,False,No change,False,3,
SN0001-35307,N0001,2025-12-19,ICU,Evening,12,6,3,1,0,False,False,F171,Medium,None,Weekly,False,False,More,False,2,
SN0062-32319,N0062,2025-11-19,Peds,Day,12,4,6,2,1,False,False,F172,Medium,None,Monthly,False,False,No change,True,2,
SN0003-28907,N0003,2025-10-16,ICU,Evening,10,6,5,0,0,False,False,F173,Medium,None,Monthly,False,False,Less,True,3,
SN0135-35219,N0135,2025-12-18,ICU,Night,8,7,2,0,3,False,False,F174,Low,Moderate,Never,False,False,More,False,4,
SN0116-29619,N0116,2025-10-23,ICU,Evening,8,8,5,1,0,False,False,F175,Low,Moderate,Weekly,False,True,No change,False,3,
SN0003-32119,N0003,2025-11-17,Surgery,Night,12,4,3,0,2,False,False,F176,Medium,Moderate,Every day,True,False,No change,False,1,
SN0125-35119,N0125,2025-12-17,Peds,Day,12,2,2,1,0,True,False,F177,Low,None,Every day,False,False,More,False,2,
SN0030-34019,N0030,2025-12-06,ICU,Night,12,3,1,0,0,False,False,F178,High,None,Every day,False,True,More,False,4,
SN0031-28219,N0031,2025-10-09,Medical,Evening,12,8,3,2,1,False,False,F179,Low,Moderate,Never,False,False,No change,True,4,
SN0067-29707,N0067,2025-10-24,Medical,Night,12,7,7,0,3,True,False,F180,Low,None,Weekly,False,False,More,False,2,
SN0124-33819,N0124,2025-12-04,ED,Evening,8,6,10,2,0,False,False,F181,Low,Severe,Every day,False,True,More,False,4,
SN0147-35419,N0147,2025-12-20,Surgery,Night,12,2,9,2,0,False,False,F182,Low,Moderate,Every day,False,False,More,False,4,
SN0114-31419,N0114,2025-11-10,ICU,Day,12,3,6,0,0,False,False,F183,High,Severe,Monthly,False,True,Less,True,3,
SN0018-33807,N0018,2025-12-04,Medical,Day,12,8,2,0,1,False,False,F184,Low,None,Weekly,False,False,More,False,3,
SN0030-28319,N0030,2025-10-10,Medical,Evening,8,2,4,1,1,False,False,F185,Medium,Moderate,Never,False,False,No change,False,5,
SN0142-34407,N0142,2025-12-10,Surgery,Night,12,2,2,2,1,False,False,F186,Medium,Moderate,Monthly,False,False,More,False,2,
SN0016-35419,N0016,2025-12-20,ICU,Night,12,2,6,2,3,False,False,F187,High,Moderate,Every day,False,False,No change,True,5,
SN0101-33007,N0101,2025-11-26,ICU,Day,12,6,3,2,0,False,False,F188,Low,Moderate,Weekly,False,False,More,False,3,
SN0046-36107,N0046,2025-12-27,Medical,Evening,10,4,10,1,3,False,False,F189,High,Moderate,Every day,False,True,More,False,1,
SN0076-30507,N0076,2025-11-01,Surgery,Night,12,3,1,1,1,False,False,F190,Medium,Moderate,Never,False,True,More,True,3,
SN0140-33607,N0140,2025-12-02,Medical,Evening,12,2,5,1,1,False,False,F191,Low,Severe,Every day,False,False,More,False,5,
SN0143-28719,N0143,2025-10-14,Peds,Night,12,2,5,0,0,False,False,F192,Medium,None,Monthly,False,False,No change,False,4,
SN0140-29607,N0140,2025-10-23,Medical,Night,12,8,5,1,1,False,False,F193,Medium,None,Never,True,False,More,True,2,
SN0146-35707,N0146,2025-12-23,ICU,Night,12,2,9,1,0,False,False,F194,Low,Moderate,Never,True,True,More,True,1,
SN0106-35919,N0106,2025-12-25,Surgery,Night,12,7,8,2,0,False,False,F195,Low,Moderate,Monthly,False,False,No change,False,3,
SN0140-00407,N0140,2026-01-04,ICU,Night,12,5,10,1,0,False,False,F196,High,Moderate,Weekly,False,False,No change,False,1,
SN0116-28907,N0116,2025-10-16,Peds,Day,10,7,9,0,0,False,False,F197,Medium,Moderate,Never,False,True,No change,True,4,
SN0035-32107,N0035,2025-11-17,Medical,Day,12,7,1,2,0,False,False,F198,Low,None,Every day,False,False,More,False,1,
SN0052-36319,N0052,2025-12-29,Peds,Day,12,7,7,0,1,False,False,F199,Medium,Severe,Weekly,False,False,More,True,1,
SN0138-33119,N0138,2025-11-27,ED,Night,8,6,2,1,4,False,True,F200,Medium,None,Monthly,True,True,More,False,1,
SN0108-29907,N0108,2025-10-26,ED,Day,10,8,10,1,1,False,False,F201,Medium,None,Weekly,True,False,Less,False,5,
SN0147-28307,N0147,2025-10-10,Surgery,Evening,12,8,3,0,1,False,False,F202,Medium,None,Weekly,False,False,No change,True,3,
SN0072-34007,N0072,2025-12-06,ICU,Evening,10,2,2,0,0,False,False,F203,Low,None,Never,False,True,More,True,2,
SN0016-28819,N0016,2025-10-15,ED,Day,12,5,10,0,0,False,False,F204,Low,Severe,Never,False,False,No change,False,5,
SN0052-36507,N0052,2025-12-31,Peds,Day,12,2,10,1,2,False,False,F205,Low,None,Every day,True,False,More,False,5,
SN0150-32219,N0150,2025-11-18,ED,Night,10,2,10,2,0,False,False,F206,Low,None,Weekly,True,False,More,False,3,
SN0148-32507,N0148,2025-11-21,Medical,Evening,12,7,4,0,1,False,False,F207,Low,None,Never,True,False,No change,True,2,
SN0086-29507,N0086,2025-10-22,ED,Day,12,2,5,2,0,False,False,F208,Low,Moderate,Every day,False,True,Less,False,1,
