shift_id,nurse_id,date,unit,shift_type,hours,patients,acuity,admissions,discharges,overtime,call_in
SN0001-32307,N0001,2025-11-19,Surgery,Evening,12,5,5,1,0,False,False
SN0001-33419,N0001,2025-11-30,Surgery,Night,12,6,7,2,1,False,False
SN0001-33107,N0001,2025-11-27,Surgery,Night,8,2,9,2,0,False,False
SN0001-33107,N0001,2025-11-27,Medical,Night,12,6,4,3,0,False,False
SN0001-33119,N0001,2025-11-27,Peds,Day,8,5,9,1,1,False,False
SN0001-33107,N0001,2025-11-27,Medical,Day,12,8,4,2,1,False,False
SN0001-33419,N0001,2025-11-30,ED,Day,12,4,6,3,1,False,False
SN0001-34219,N0001,2025-12-08,ED,Day,12,2,2,1,2,False,False
SN0001-34219,N0001,2025-12-08,Peds,Day,12,5,6,4,2,False,False
SN0001-33707,N0001,2025-12-03,Medical,Day,12,6,6,1,1,False,False
SN0001-34407,N0001,2025-12-10,Surgery,Night,12,6,4,2,0,False,False
SN0001-34519,N0001,2025-12-11,ED,Day,12,4,1,1,0,False,False
SN0001-34619,N0001,2025-12-12,ED,Day,12,5,8,1,0,False,False
SN0001-34919,N0001,2025-12-15,Surgery,Day,10,4,7,1,0,False,False
SN0001-35607,N0001,2025-12-22,Surgery,Night,10,2,4,0,0,False,False
SN0001-35607,N0001,2025-12-22,Surgery,Evening,12,3,1,1,0,False,False
SN0001-35107,N0001,2025-12-17,Medical,Night,12,8,5,0,0,False,False
SN0001-35307,N0001,2025-12-19,ICU,Evening,12,6,3,1,0,False,False
SN0001-36319,N0001,2025-12-29,ICU,Night,12,6,9,0,1,False,False
SN0001-36407,N0001,2025-12-30,ICU,Night,12,2,8,0,2,False,False
SN0001-36007,N0001,2025-12-26,ICU,Evening,8,7,2,1,3,True,False
SN0001-36319,N0001,2025-12-29,Medical,Night,12,8,8,0,0,False,False
SN0001-36319,N0001,2025-12-29,Medical,Day,12,8,5,0,0,False,False
SN0001-00507,N0001,2026-01-05,ED,Evening,8,6,6,0,0,False,False
SN0001-00407,N0001,2026-01-04,Peds,Evening,12,3,1,0,0,False,False
SN0001-00207,N0001,2026-01-02,Medical,Night,12,5,3,0,2,False,False
SN0001-00107,N0001,2026-01-01,Medical,Day,8,5,10,0,0,False,False
SN0002-28719,N0002,2025-10-14,ED,Day,12,2,8,1,1,False,False
SN0002-28207,N0002,2025-10-09,Medical,Day,12,4,8,1,0,False,False
SN0002-28407,N0002,2025-10-11,Peds,Night,12,6,4,3,1,False,False
SN0002-29419,N0002,2025-10-21,Peds,Night,12,6,2,0,1,False,False
SN0002-29407,N0002,2025-10-21,Medical,Night,8,5,9,1,0,False,False
SN0002-28819,N0002,2025-10-15,Medical,Day,12,5,6,2,0,False,False
SN0002-29607,N0002,2025-10-23,ED,Evening,12,3,6,1,0,False,False
SN0002-29707,N0002,2025-10-24,Peds,Day,8,2,5,2,0,False,False
SN0002-29819,N0002,2025-10-25,Medical,Night,12,7,1,3,0,False,False
SN0002-30119,N0002,2025-10-28,Surgery,Day,12,5,7,0,2,False,False
SN0002-30019,N0002,2025-10-27,Medical,Night,12,7,5,0,0,False,False
SN0002-30407,N0002,2025-10-31,ED,Night,12,8,9,2,2,False,False
SN0002-30207,N0002,2025-10-29,Medical,Day,12,7,4,1,0,False,False
SN0002-30819,N0002,2025-11-04,Medical,Day,8,7,10,1,3,False,False
SN0002-30219,N0002,2025-10-29,ED,Day,12,8,9,0,1,False,False
SN0002-30919,N0002,2025-11-05,ED,Day,12,6,4,0,0,True,False
SN0002-31307,N0002,2025-11-09,ICU,Evening,12,4,5,0,0,False,False
SN0002-31419,N0002,2025-11-10,ICU,Day,12,3,9,0,0,False,False
SN0002-30919,N0002,2025-11-05,Peds,Night,10,5,3,0,1,False,False
SN0002-31119,N0002,2025-11-07,Peds,Day,12,4,1,2,1,False,False
SN0002-31719,N0002,2025-11-13,ICU,Day,12,5,6,2,1,False,False
SN0002-32107,N0002,2025-11-17,Peds,Night,12,6,3,0,1,False,False
SN0002-32007,N0002,2025-11-16,ED,Evening,12,3,8,2,1,False,False
SN0002-32219,N0002,2025-11-18,ICU,Day,8,7,10,1,0,False,False
SN0002-31719,N0002,2025-11-13,ICU,Day,12,7,3,1,1,False,False
SN0002-32107,N0002,2025-11-17,ICU,Day,10,4,4,0,0,False,False
SN0002-32819,N0002,2025-11-24,Peds,Night,12,4,6,2,1,False,False
SN0002-32419,N0002,2025-11-20,Medical,Night,12,8,3,2,0,False,False
SN0002-32307,N0002,2025-11-19,Medical,Day,12,6,1,3,1,False,False
SN0002-33607,N0002,2025-12-02,ICU,Night,12,3,4,1,0,False,False
SN0002-33407,N0002,2025-11-30,Medical,Night,12,2,1,1,1,False,False
SN0002-33307,N0002,2025-11-29,Peds,Night,12,4,10,1,0,False,False
SN0002-34307,N0002,2025-12-09,ED,Day,12,6,2,4,1,False,False
SN0002-34319,N0002,2025-12-09,Peds,Day,12,7,1,0,0,True,False
SN0002-34307,N0002,2025-12-09,ICU,Day,12,4,2,1,1,False,False
SN0002-34219,N0002,2025-12-08,ED,Day,12,4,9,1,1,False,False
SN0002-34119,N0002,2025-12-07,ICU,Day,12,8,2,0,0,False,False
SN0002-34519,N0002,2025-12-11,Peds,Night,12,5,3,0,1,False,False
SN0002-35019,N0002,2025-12-16,Medical,Day,12,4,1,0,1,False,False
SN0002-34907,N0002,2025-12-15,ED,Night,12,8,4,0,1,False,False
SN0002-34607,N0002,2025-12-12,Medical,Evening,8,3,6,2,0,False,False
SN0002-34807,N0002,2025-12-14,Peds,Evening,10,6,10,0,1,False,False
SN0002-34907,N0002,2025-12-15,ED,Night,12,6,4,0,3,False,False
SN0002-35419,N0002,2025-12-20,Surgery,Day,10,8,3,1,1,False,False
SN0002-35219,N0002,2025-12-18,Peds,Day,10,5,7,1,2,False,False
SN0002-35607,N0002,2025-12-22,Surgery,Evening,12,2,3,2,1,False,False
SN0002-36119,N0002,2025-12-27,ED,Night,12,7,3,0,1,True,False
SN0002-36419,N0002,2025-12-30,Peds,Evening,8,7,7,0,1,False,False
SN0002-36107,N0002,2025-12-27,Surgery,Night,8,4,10,3,0,False,False
SN0002-00307,N0002,2026-01-03,Medical,Day,12,8,9,1,1,False,False
SN0002-00619,N0002,2026-01-06,ED,Night,12,5,7,1,0,False,False
SN0002-00107,N0002,2026-01-01,ED,Day,12,2,8,0,1,False,False
SN0002-00507,N0002,2026-01-05,Peds,Night,10,8,2,1,2,True,False
SN0003-28719,N0003,2025-10-14,Peds,Day,12,4,8,3,1,False,False
SN0003-28307,N0003,2025-10-10,Medical,Night,12,2,5,0,4,False,False
SN0003-28419,N0003,2025-10-11,ICU,Night,10,5,6,0,1,False,False
SN0003-28307,N0003,2025-10-10,Peds,Night,8,6,3,1,0,False,False
SN0003-28819,N0003,2025-10-15,Surgery,Night,12,5,2,0,0,False,False
SN0003-29307,N0003,2025-10-20,ED,Night,12,8,8,2,0,False,False
SN0003-28907,N0003,2025-10-16,ICU,Evening,10,6,5,0,0,False,False
SN0003-29107,N0003,2025-10-18,ICU,Day,12,8,10,2,1,False,False
SN0003-29319,N0003,2025-10-20,ED,Day,12,8,6,1,2,False,False
SN0003-29907,N0003,2025-10-26,Surgery,Day,12,4,9,1,0,False,False
SN0003-29707,N0003,2025-10-24,Surgery,Night,12,7,6,2,0,False,False
SN0003-29919,N0003,2025-10-26,ED,Night,12,4,9,1,1,False,False
SN0003-29507,N0003,2025-10-22,ED,Night,12,4,1,2,0,False,False
SN0003-30107,N0003,2025-10-28,Surgery,Evening,12,2,8,1,0,False,False
SN0003-30219,N0003,2025-10-29,Peds,Day,10,4,1,2,0,False,False
SN0003-30219,N0003,2025-10-29,Medical,Night,8,6,6,2,0,True,False
SN0003-30507,N0003,2025-11-01,Surgery,Night,12,2,7,1,2,False,False
SN0003-30819,N0003,2025-11-04,ICU,Night,12,7,1,2,0,False,False
SN0003-30719,N0003,2025-11-03,ED,Night,12,5,5,1,1,False,False
SN0003-31519,N0003,2025-11-11,Medical,Night,12,7,10,1,1,False,False
SN0003-31319,N0003,2025-11-09,Surgery,Day,8,3,3,1,1,False,False
SN0003-30919,N0003,2025-11-05,Peds,Evening,12,5,10,1,2,False,False
SN0003-31219,N0003,2025-11-08,Surgery,Night,12,3,9,0,0,False,False
SN0003-31107,N0003,2025-11-07,Peds,Day,12,8,4,2,1,False,False
SN0003-31819,N0003,2025-11-14,Medical,Day,12,2,7,2,0,False,False
SN0003-31807,N0003,2025-11-14,Medical,Night,12,3,7,3,1,False,False
SN0003-31719,N0003,2025-11-13,Medical,Night,8,2,1,0,0,False,False
SN0003-32119,N0003,2025-11-17,Surgery,Night,12,4,3,0,2,False,False
SN0003-32207,N0003,2025-11-18,ED,Night,12,8,4,1,1,False,False
SN0003-32107,N0003,2025-11-17,Surgery,Night,12,5,4,0,0,False,False
SN0003-32619,N0003,2025-11-22,Surgery,Day,12,6,10,1,0,False,False
SN0003-32519,N0003,2025-11-21,Surgery,Evening,8,8,3,0,0,False,False
SN0003-32507,N0003,2025-11-21,ED,Night,12,2,2,1,1,False,False
SN0003-33007,N0003,2025-11-26,ED,Night,12,3,9,0,0,False,False
SN0003-33219,N0003,2025-11-28,Surgery,Night,8,7,2,1,4,False,False
SN0003-33207,N0003,2025-11-28,Surgery,Night,12,3,8,1,0,False,False
SN0003-33507,N0003,2025-12-01,Medical,Night,8,3,6,4,1,False,False
SN0003-33419,N0003,2025-11-30,Peds,Day,12,3,7,1,0,False,False
SN0003-34319,N0003,2025-12-09,Peds,Evening,12,3,4,0,0,False,True
SN0003-33919,N0003,2025-12-05,Medical,Night,12,2,7,1,3,False,False
SN0003-33719,N0003,2025-12-03,ICU,Night,10,5,5,1,0,False,False
SN0003-35007,N0003,2025-12-16,Surgery,Night,8,3,9,0,0,False,False
SN0003-34907,N0003,2025-12-15,ICU,Day,12,2,4,1,1,False,False
SN0003-34607,N0003,2025-12-12,Surgery,Night,8,8,7,3,0,False,False
SN0003-35019,N0003,2025-12-16,Surgery,Day,12,2,3,1,1,False,False
SN0003-35219,N0003,2025-12-18,Medical,Evening,12,4,8,0,2,False,False
SN0003-35719,N0003,2025-12-23,ED,Day,12,8,5,0,0,False,False
SN0003-35507,N0003,2025-12-21,Peds,Day,12,2,9,1,0,False,False
SN0003-35219,N0003,2025-12-18,ICU,Night,10,7,5,0,0,False,False
SN0003-35907,N0003,2025-12-25,ED,Night,10,8,4,2,0,False,False
SN0003-36319,N0003,2025-12-29,Peds,Night,12,7,9,2,2,False,False
SN0003-36319,N0003,2025-12-29,Peds,Day,12,8,10,1,1,False,False
SN0003-36307,N0003,2025-12-29,Medical,Night,12,2,4,2,1,False,False
SN0003-36307,N0003,2025-12-29,ICU,Day,12,8,8,0,0,False,False
SN0003-00507,N0003,2026-01-05,Medical,Night,8,3,7,1,0,False,False
SN0003-36507,N0003,2025-12-31,ICU,Day,12,7,4,4,1,False,False
SN0003-00519,N0003,2026-01-05,Medical,Evening,12,5,2,0,1,False,False
SN0003-00219,N0003,2026-01-02,Surgery,Night,12,8,4,1,1,False,False
SN0003-00319,N0003,2026-01-03,Medical,Day,12,7,8,0,1,True,True
SN0004-28419,N0004,2025-10-11,Medical,Night,12,8,4,1,1,False,True
SN0004-28207,N0004,2025-10-09,Medical,Night,12,4,2,0,0,False,False
SN0004-28307,N0004,2025-10-10,ICU,Evening,10,4,5,1,0,False,False
SN0004-28519,N0004,2025-10-12,ICU,Night,12,4,1,0,0,False,False
SN0004-28519,N0004,2025-10-12,Medical,Night,8,7,7,3,0,False,False
SN0004-28119,N0004,2025-10-08,Medical,Night,12,5,8,0,0,False,False
SN0004-29307,N0004,2025-10-20,Surgery,Evening,12,3,6,2,0,False,False
SN0004-29319,N0004,2025-10-20,ED,Day,12,5,7,0,0,False,False
SN0004-29407,N0004,2025-10-21,ICU,Night,12,3,6,2,0,False,False
SN0004-29707,N0004,2025-10-24,ED,Day,8,5,3,2,0,False,False
SN0004-29907,N0004,2025-10-26,Medical,Day,12,2,1,2,0,False,False
SN0004-29807,N0004,2025-10-25,Surgery,Night,12,3,9,0,3,False,False
SN0004-30119,N0004,2025-10-28,ED,Night,12,5,1,0,1,False,False
SN0004-30319,N0004,2025-10-30,Medical,Night,12,6,10,1,1,False,False
SN0004-30519,N0004,2025-11-01,Medical,Day,8,4,5,2,0,False,False
SN0004-30607,N0004,2025-11-02,ICU,Day,12,5,1,2,0,False,False
SN0004-30219,N0004,2025-10-29,ICU,Night,8,5,1,0,0,False,False
SN0004-30219,N0004,2025-10-29,Surgery,Day,12,4,10,2,0,False,False
SN0004-30319,N0004,2025-10-30,Surgery,Night,12,4,8,0,1,False,False
SN0004-31419,N0004,2025-11-10,Medical,Evening,8,3,1,2,0,False,False
SN0004-31207,N0004,2025-11-08,ED,Night,12,3,8,1,2,False,False
SN0004-31007,N0004,2025-11-06,ED,Evening,8,8,2,1,0,False,False
SN0004-31519,N0004,2025-11-11,ICU,Day,12,8,6,0,0,False,False
SN0004-31107,N0004,2025-11-07,ICU,Night,12,3,9,0,0,False,False
SN0004-31319,N0004,2025-11-09,Peds,Day,8,6,2,3,0,False,False
SN0004-31919,N0004,2025-11-15,ED,Day,12,8,9,1,2,False,False
SN0004-31919,N0004,2025-11-15,Peds,Day,12,3,10,2,0,False,False
SN0004-32107,N0004,2025-11-17,Medical,Night,12,2,6,2,0,False,False
SN0004-32219,N0004,2025-11-18,ICU,Day,12,8,5,1,0,True,False
SN0004-32119,N0004,2025-11-17,Peds,Day,8,3,5,2,0,False,False
SN0004-32207,N0004,2025-11-18,ICU,Day,12,4,10,1,0,False,True
SN0004-32719,N0004,2025-11-23,Surgery,Night,10,8,6,0,0,False,False
SN0004-32607,N0004,2025-11-22,ED,Night,12,2,1,1,1,False,False
SN0004-32807,N0004,2025-11-24,ICU,Day,12,6,6,1,2,False,False
SN0004-33107,N0004,2025-11-27,Peds,Day,12,2,7,0,2,False,False
SN0004-33219,N0004,2025-11-28,Peds,Night,12,4,9,1,1,False,False
SN0004-33619,N0004,2025-12-02,Surgery,Day,8,5,9,3,0,False,False
SN0004-34319,N0004,2025-12-09,ICU,Evening,12,4,2,1,0,False,True
SN0004-33707,N0004,2025-12-03,ICU,Night,12,3,8,2,1,False,False
SN0004-33807,N0004,2025-12-04,ICU,Night,12,6,6,2,0,False,False
SN0004-34207,N0004,2025-12-08,Medical,Day,12,4,7,1,1,False,False
SN0004-33707,N0004,2025-12-03,Medical,Night,12,3,1,1,0,False,False
SN0004-34619,N0004,2025-12-12,ICU,Night,12,3,5,1,2,False,False
SN0004-34707,N0004,2025-12-13,Medical,Night,12,8,9,1,0,False,False
SN0004-35019,N0004,2025-12-16,Medical,Day,12,3,5,2,0,False,False
SN0004-34807,N0004,2025-12-14,Medical,Day,8,4,9,0,0,False,False
SN0004-34719,N0004,2025-12-13,ED,Night,12,2,10,1,2,False,False
SN0004-34719,N0004,2025-12-13,ICU,Day,12,7,1,2,0,False,False
SN0004-35419,N0004,2025-12-20,ED,Night,8,6,4,3,1,False,False
SN0004-35419,N0004,2025-12-20,ICU,Evening,10,6,5,4,0,False,False
SN0004-35419,N0004,2025-12-20,Medical,Evening,12,8,8,1,2,False,False
SN0004-35319,N0004,2025-12-19,Medical,Night,12,8,10,0,0,False,False
SN0004-35719,N0004,2025-12-23,Peds,Day,12,4,5,2,1,False,False
SN0004-36307,N0004,2025-12-29,Surgery,Night,12,8,10,2,1,False,False
SN0004-36419,N0004,2025-12-30,Peds,Night,12,3,10,0,1,False,False
SN0004-36419,N0004,2025-12-30,Medical,Night,12,6,5,5,0,False,False
SN0004-36007,N0004,2025-12-26,Medical,Night,12,7,2,0,2,False,False
SN0004-00507,N0004,2026-01-05,ICU,Night,10,4,1,2,1,False,False
SN0004-00419,N0004,2026-01-04,ICU,Night,8,5,2,2,3,False,False
SN0004-00219,N0004,2026-01-02,Surgery,Day,8,6,1,0,2,False,False
SN0004-00119,N0004,2026-01-01,Medical,Day,8,3,1,3,0,False,False
SN0004-00607,N0004,2026-01-06,Peds,Night,12,4,5,2,0,False,False
SN0005-28419,N0005,2025-10-11,Surgery,Night,12,2,8,2,0,False,False
SN0005-28119,N0005,2025-10-08,Peds,Night,12,3,3,2,0,False,False
SN0005-28219,N0005,2025-10-09,Medical,Evening,10,3,4,1,1,False,False
SN0005-29007,N0005,2025-10-17,ED,Day,12,7,8,0,0,False,True
SN0005-29207,N0005,2025-10-19,Surgery,Day,12,6,4,0,1,False,False
SN0005-29319,N0005,2025-10-20,Surgery,Night,12,7,5,2,0,False,False
SN0005-29007,N0005,2025-10-17,ED,Day,12,2,1,1,1,False,False
SN0005-29219,N0005,2025-10-19,Surgery,Evening,12,3,3,2,0,False,False
SN0005-28819,N0005,2025-10-15,Peds,Night,12,5,10,0,0,False,False
SN0005-29807,N0005,2025-10-25,ICU,Evening,12,4,7,0,1,False,False
SN0005-29719,N0005,2025-10-24,ED,Day,12,6,1,2,1,False,False
SN0005-29907,N0005,2025-10-26,ED,Night,12,6,6,0,1,False,False
SN0005-30019,N0005,2025-10-27,Medical,Day,8,3,6,2,0,False,False
SN0005-29807,N0005,2025-10-25,Medical,Night,12,5,1,2,1,False,False
SN0005-29707,N0005,2025-10-24,Peds,Night,10,7,4,0,2,False,False
SN0005-30507,N0005,2025-11-01,ICU,Day,12,8,1,0,0,False,False
SN0005-30719,N0005,2025-11-03,Medical,Day,12,4,10,2,2,False,False
SN0005-30407,N0005,2025-10-31,Surgery,Evening,12,6,2,1,0,False,False
SN0005-30919,N0005,2025-11-05,Peds,Day,12,4,4,1,1,False,False
SN0005-31407,N0005,2025-11-10,ED,Day,12,2,6,3,0,True,False
SN0005-31007,N0005,2025-11-06,ED,Night,8,2,8,0,0,True,False
SN0005-31707,N0005,2025-11-13,Medical,Night,12,4,7,0,1,False,False
SN0005-32207,N0005,2025-11-18,Peds,Night,12,7,6,0,0,False,False
SN0005-31807,N0005,2025-11-14,Medical,Evening,12,4,3,1,3,False,False
SN0005-32907,N0005,2025-11-25,Medical,Day,12,7,7,1,0,False,False
SN0005-32407,N0005,2025-11-20,ICU,Day,12,5,10,2,1,False,False
SN0005-32719,N0005,2025-11-23,Medical,Day,12,5,1,0,3,True,False
SN0005-33119,N0005,2025-11-27,ED,Day,8,8,8,1,1,False,False
SN0005-33319,N0005,2025-11-29,Surgery,Day,8,7,10,2,0,False,False
SN0005-33019,N0005,2025-11-26,Peds,Day,12,2,3,0,1,False,False
SN0005-33019,N0005,2025-11-26,Surgery,Night,12,5,7,0,0,False,False
SN0005-33719,N0005,2025-12-03,ICU,Day,12,4,10,3,0,False,False
SN0005-33719,N0005,2025-12-03,ED,Day,12,3,4,2,0,False,False
SN0005-33719,N0005,2025-12-03,ICU,Day,10,8,4,1,1,False,False
SN0005-33919,N0005,2025-12-05,Medical,Day,12,5,1,0,0,False,False
SN0005-33919,N0005,2025-12-05,Peds,Day,8,6,8,0,1,False,False
SN0005-34307,N0005,2025-12-09,Medical,Night,12,5,3,2,0,False,False
SN0005-35007,N0005,2025-12-16,Peds,Day,12,7,9,0,1,False,False
SN0005-34719,N0005,2025-12-13,Surgery,Day,8,5,1,1,1,False,False
SN0005-34907,N0005,2025-12-15,Surgery,Day,12,2,6,1,0,False,False
SN0005-34619,N0005,2025-12-12,ICU,Day,8,2,6,1,1,False,False
SN0005-34707,N0005,2025-12-13,Peds,Night,12,6,1,0,0,False,False
SN0005-35407,N0005,2025-12-20,Peds,Night,12,2,2,0,0,False,False
SN0005-35207,N0005,2025-12-18,ED,Day,12,3,2,0,2,False,False
SN0005-35307,N0005,2025-12-19,ED,Day,12,4,3,0,0,False,False
SN0005-35719,N0005,2025-12-23,ED,Night,12,5,8,0,0,False,False
SN0005-35319,N0005,2025-12-19,Medical,Night,12,5,6,2,0,False,False
SN0005-35207,N0005,2025-12-18,ED,Evening,8,7,4,1,1,False,False
SN0005-35819,N0005,2025-12-24,Medical,Day,12,3,8,0,0,False,False
SN0005-36419,N0005,2025-12-30,Surgery,Day,10,7,10,0,0,False,False
SN0005-36407,N0005,2025-12-30,Peds,Day,12,4,7,3,0,False,False
SN0005-36319,N0005,2025-12-29,Surgery,Night,12,2,5,1,1,True,False
SN0005-00619,N0005,2026-01-06,Medical,Night,12,8,4,0,0,False,False
SN0005-00107,N0005,2026-01-01,Medical,Night,12,8,10,0,1,False,False
SN0005-00107,N0005,2026-01-01,ICU,Day,12,2,7,0,1,False,False
SN0005-00319,N0005,2026-01-03,ED,Evening,12,5,2,0,0,False,False
SN0006-28319,N0006,2025-10-10,Surgery,Night,8,3,7,1,0,False,False
SN0006-28107,N0006,2025-10-08,Surgery,Day,10,6,5,1,0,False,False
SN0006-28107,N0006,2025-10-08,Surgery,Night,12,7,1,0,3,False,False
SN0006-29119,N0006,2025-10-18,Surgery,Night,12,8,6,1,1,False,False
SN0006-29207,N0006,2025-10-19,ED,Day,12,2,1,0,2,False,False
SN0006-29319,N0006,2025-10-20,ED,Day,12,6,7,0,1,False,False
SN0006-28919,N0006,2025-10-16,ED,Night,12,8,4,2,0,False,False
SN0006-28919,N0006,2025-10-16,Peds,Night,8,5,9,0,0,False,False
SN0006-30119,N0006,2025-10-28,Surgery,Day,8,6,3,1,1,False,False
SN0006-29819,N0006,2025-10-25,ED,Night,12,8,3,1,2,False,False
SN0006-30007,N0006,2025-10-27,ED,Day,8,8,5,0,0,False,False
SN0006-30119,N0006,2025-10-28,ED,Day,12,3,7,0,0,True,False
SN0006-30219,N0006,2025-10-29,Medical,Night,12,4,5,2,1,True,False
SN0006-30819,N0006,2025-11-04,Peds,Day,10,4,7,0,1,False,False
SN0006-30719,N0006,2025-11-03,ED,Day,12,5,1,3,1,False,False
SN0006-30407,N0006,2025-10-31,Medical,Night,12,6,3,0,1,False,False
SN0006-30819,N0006,2025-11-04,Surgery,Night,8,7,4,0,1,True,False
SN0006-31019,N0006,2025-11-06,Surgery,Day,12,2,6,0,0,False,False
SN0006-31219,N0006,2025-11-08,Peds,Night,12,4,9,1,1,False,False
SN0006-31507,N0006,2025-11-11,ICU,Evening,8,2,2,2,1,True,False
SN0006-31307,N0006,2025-11-09,Medical,Night,12,3,5,1,1,False,False
SN0006-31407,N0006,2025-11-10,Peds,Night,12,3,6,0,1,False,False
SN0006-31007,N0006,2025-11-06,Peds,Night,12,2,4,2,1,False,False
SN0006-32107,N0006,2025-11-17,ED,Day,8,8,6,3,0,False,False
SN0006-31919,N0006,2025-11-15,ED,Night,12,5,2,0,2,False,False
SN0006-31919,N0006,2025-11-15,Medical,Day,12,2,3,0,0,False,False
SN0006-32419,N0006,2025-11-20,Peds,Night,12,2,6,1,2,True,False
SN0006-32519,N0006,2025-11-21,ICU,Day,8,4,7,2,3,False,False
SN0006-32319,N0006,2025-11-19,Surgery,Evening,12,3,4,1,0,False,True
SN0006-32519,N0006,2025-11-21,Medical,Night,12,5,4,3,1,True,False
SN0006-32907,N0006,2025-11-25,Peds,Night,12,5,4,2,0,False,False
SN0006-32607,N0006,2025-11-22,Surgery,Evening,10,8,9,0,0,False,False
SN0006-33507,N0006,2025-12-01,Medical,Night,12,7,10,0,1,False,False
SN0006-33107,N0006,2025-11-27,Medical,Night,10,7,1,3,1,False,False
SN0006-33619,N0006,2025-12-02,Medical,Night,12,5,10,1,2,False,False
SN0006-33507,N0006,2025-12-01,ICU,Night,12,7,9,4,0,True,False
SN0006-33307,N0006,2025-11-29,ICU,Day,8,5,9,1,0,False,False
SN0006-34019,N0006,2025-12-06,Medical,Night,12,7,4,1,1,False,False
SN0006-33719,N0006,2025-12-03,Surgery,Night,12,7,4,1,0,True,False
SN0006-34219,N0006,2025-12-08,ICU,Night,8,3,9,2,0,False,False
SN0006-34207,N0006,2025-12-08,ICU,Day,12,5,1,2,0,False,False
SN0006-33819,N0006,2025-12-04,Surgery,Night,12,6,8,2,2,False,False
SN0006-34219,N0006,2025-12-08,ED,Night,12,4,4,1,0,False,False
SN0006-34419,N0006,2025-12-10,ICU,Night,8,4,2,3,1,False,False
SN0006-34607,N0006,2025-12-12,Surgery,Night,12,7,6,2,0,False,False
SN0006-34907,N0006,2025-12-15,Peds,Day,12,3,5,2,1,False,False
SN0006-34607,N0006,2025-12-12,Peds,Day,8,8,2,1,0,False,False
SN0006-34519,N0006,2025-12-11,Medical,Day,12,7,5,2,0,False,False
SN0006-34507,N0006,2025-12-11,Medical,Night,12,6,8,2,1,False,False
SN0006-35707,N0006,2025-12-23,Medical,Night,12,5,3,2,0,False,False
SN0006-35607,N0006,2025-12-22,Peds,Night,12,3,7,1,0,False,False
SN0006-35507,N0006,2025-12-21,Medical,Day,8,8,3,0,0,False,False
SN0006-35207,N0006,2025-12-18,Peds,Night,12,8,10,0,1,False,False
SN0006-35307,N0006,2025-12-19,Peds,Evening,12,4,9,2,0,False,False
SN0006-36419,N0006,2025-12-30,Surgery,Day,12,6,1,0,1,False,False
